id;last_name;marital_status;gender; annual_income ; industry ;zip_code;age_at_issue;member_type;add_members; annual_fee ;payment_type;status;start_month;start_day;start_year;end_month;end_day;end_year
A02601;Barrett;Married;M; $115.613,00 ;Consumer Discretionary;80202;28;Gold;3; $9.000,00 ;QUARTERLY;CANCELLED;12;31;2009;2;26;2011
A00128;Boyd;Married;M; $102.874,00 ;Consumer Staples;80202;43;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;12;31;2007;2;26;2010
A00102;Hudson;Married;M; $87.772,00 ;Utilities;80202;45;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;12;31;2007;2;26;2009
A06254;Day;Single;M; $98.508,00 ;Industrials;80202;26;Bronze;0; $5.000,00 ;MONTHLY;CANCELLED;12;30;2011;4;28;2012
A06253;Higgins;Single;F; $39.908,00 ;Financials;80202;65;Gold;0; $9.000,00 ;MONTHLY;CANCELLED;12;30;2011;3;14;2012
A01133;Woods;Married;F; $48.462,00 ;Energy;80202;36;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;12;29;2008;2;26;2010
A05150;Nunez;Married;F; $67.901,00 ;Materials;80202;33;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;12;28;2010;2;26;2012
A02479;Green;Single;M; $81.574,00 ;Consumer Staples;80202;26;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;12;24;2009;2;21;2011
A02434;Parker;Married;F; $90.410,00 ;Real Estate;80202;62;Bronze;1; $5.000,00 ;SEMI-ANNUAL;CANCELLED;12;9;2009;2;7;2011
A06081;Tyler;Single;M; $69.769,00 ;Telecommunication Services;80202;22;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;11;11;2011;1;9;2013
A00939;Bates;Married;F; $77.698,00 ;Materials;80202;51;Silver;3; $7.000,00 ;SEMI-ANNUAL;CANCELLED;11;7;2008;1;6;2012
A00936;Brock;Single;M; $115.486,00 ;Health Care;80202;25;Gold;0; $9.000,00 ;MONTHLY;CANCELLED;11;5;2008;3;6;2009
A02148;Page;Married;M; $90.171,00 ;Consumer Staples;80202;49;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;10;20;2009;12;19;2011
A04898;Gonzalez;Married;M; $111.065,00 ;Health Care;80202;35;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;10;11;2010;11;8;2011
A02151;Maxwell;Single;M; $64.316,00 ;Health Care;80202;28;Gold;0; $9.000,00 ;MONTHLY;CANCELLED;9;30;2009;1;27;2010
A05945;Flowers;Married;M; $118.845,00 ;Unclassified;80202;38;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;9;29;2011;11;27;2012
A00773;Gregory;Married;M; $101.686,00 ;Financials;80202;46;Platinum;3; $15.000,00 ;SEMI-ANNUAL;CANCELLED;9;22;2008;11;21;2010
A07304;Owen;Married;M; $46.611,00 ;Consumer Discretionary;80202;41;Gold;1; $9.000,00 ;MONTHLY;CANCELLED;9;13;2012;10;28;2012
A04686;Jacobs;Married;M; $114.428,00 ;Consumer Discretionary;80202;49;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;9;9;2010;11;8;2011
A02051;Hopkins;Married;M; $46.033,00 ;Information Technology;80202;36;Gold;3; $9.000,00 ;SEMI-ANNUAL;CANCELLED;9;8;2009;5;8;2010
A01956;Blair;Married;M; $94.495,00 ;Health Care;80202;37;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;9;7;2009;11;6;2010
A04755;Adkins;Married;M; $103.336,00 ;Telecommunication Services;80202;50;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;8;31;2010;10;27;2011
A01942;Francis;Married;M; $103.415,00 ;Materials;80202;43;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;7;31;2009;9;26;2010
A04326;Rowe;Married;M; $103.926,00 ;Consumer Staples;80202;55;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;7;30;2010;9;26;2011
A05873;Garrett;Married;M; $95.474,00 ;Health Care;80202;34;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;7;29;2011;9;26;2012
A04236;Cohen;Married;M; $104.903,00 ;Materials;80202;44;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;7;28;2010;9;25;2011
A04291;Allen;Married;M; $79.918,00 ;Materials;80202;47;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;7;28;2010;9;26;2011
A07225;Dennis;Married;M; $119.512,00 ;Industrials;80202;41;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;7;26;2012;9;24;2013
A09300;Clarke;Married;M; $73.380,00 ;Consumer Discretionary;80202;41;Gold;3; $9.000,00 ;QUARTERLY;CANCELLED;7;22;2013;11;20;2013
A04255;Aguilar;Married;M; $113.174,00 ;Unclassified;80202;46;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;7;22;2010;9;20;2011
A04225;Greer;Married;M; $100.623,00 ;Materials;80202;64;Bronze;1; $5.000,00 ;QUARTERLY;CANCELLED;7;16;2010;9;14;2011
A04124;Kim;Married;M; $113.577,00 ;Telecommunication Services;80202;58;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;6;28;2010;8;26;2011
A04038;Lucas;Married;M; $91.985,00 ;Financials;80202;75;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;6;11;2010;8;10;2011
A03918;French;Married;M; $85.926,00 ;Utilities;80202;49;Gold;1; $9.000,00 ;MONTHLY;CANCELLED;5;26;2010;9;24;2010
A05752;Fletcher;Married;M; $87.771,00 ;Real Estate;80202;52;Bronze;3; $5.000,00 ;SEMI-ANNUAL;CANCELLED;5;12;2011;12;10;2011
A00465;French;Married;M; $86.012,00 ;Unclassified;80202;40;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;4;30;2008;6;27;2009
A01623;Schwartz;Married;M; $53.338,00 ;Telecommunication Services;80202;58;Silver;3; $7.000,00 ;MONTHLY;CANCELLED;4;15;2009;10;14;2009
A03641;Watson;Married;M; $71.171,00 ;Energy;80202;46;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;4;9;2010;6;6;2011
A03557;Atkins;Married;M; $52.181,00 ;Utilities;80202;50;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;4;9;2010;6;8;2011
A08262;Hanson;Married;M; $35.542,00 ;Industrials;80202;33;Silver;2; $7.000,00 ;SEMI-ANNUAL;CANCELLED;3;31;2013;10;28;2013
A05678;Wise;Married;M; $47.413,00 ;Financials;80202;24;Gold;3; $9.000,00 ;SEMI-ANNUAL;CANCELLED;3;31;2011;11;27;2011
A05674;Mann;Single;M; $73.289,00 ;Telecommunication Services;80202;34;Silver;0; $7.000,00 ;SEMI-ANNUAL;CANCELLED;3;31;2011;5;27;2012
A03673;Campbell;Single;M; $56.905,00 ;Telecommunication Services;80202;27;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A03628;Powers;Married;M; $71.055,00 ;Materials;80202;56;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A01531;Fletcher;Married;F; $98.629,00 ;Materials;80202;40;Silver;2; $7.000,00 ;QUARTERLY;CANCELLED;3;31;2009;8;27;2009
A06607;Long;Single;M; $66.692,00 ;Financials;80202;25;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
